CODE,SAD,SOD,SAMRATE,MIC_COUNT,TOTALSPREAD
10323500,8,16,44100,3,17
10325500,8,8.5,44100,3,17
10323501,8,12.75,44100,3,17
10321800,8,7.5,44100,3,17
10321801,8,7.5,44100,3,17
10321802,8,16,44100,3,17
11333500,8.534,8.407,44100,3,16.815
11313000,8.534,8.407,44100,3,16.815
11331800,8.534,8.407,44100,3,16.815
11313001,8.534,8.407,44100,3,16.815
11313002,8.534,8.407,44100,3,16.815
